dept_code,name,dane_code
05,ANTIOQUIA,05
08,ATLÁNTICO,08
11,"BOGOTÁ, D.C.",11
13,BOLÍVAR,13
15,BOYACÁ,15
17,CALDAS,17
18,CAQUETÁ,18
19,CAUCA,19
20,CESAR,20
23,CÓRDOBA,23
25,CUNDINAMARCA,25
27,CHOCÓ,27
41,HUILA,41
44,LA GUAJIRA,44
47,MAGDALENA,47
50,META,50
52,NARIÑO,52
54,NORTE DE SANTANDER,54
63,QUINDÍO,63
66,RISARALDA,66
68,SANTANDER,68
70,SUCRE,70
73,TOLIMA,73
76,VALLE DEL CAUCA,76
81,ARAUCA,81
85,CASANARE,85
86,PUTUMAYO,86
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88
91,AMAZONAS,91
94,GUAINÍA,94
95,GUAVIARE,95
97,VAUPÉS,97
99,VICHADA,99
