muni_code,dept_code,name,type,longitude,latitude,dane_code
05001,05,MEDELLÍN,Municipio,-75.581775,6.246631,05001
05002,05,ABEJORRAL,Municipio,-75.428739,5.789315,05002
05004,05,ABRIAQUÍ,Municipio,-76.064304,6.632282,05004
05021,05,ALEJANDRÍA,Municipio,-75.141346,6.376061,05021
05030,05,AMAGÁ,Municipio,-75.702188,6.038708,05030
05031,05,AMALFI,Municipio,-75.077501,6.909655,05031
05034,05,ANDES,Municipio,-75.878828,5.657194,05034
05036,05,ANGELÓPOLIS,Municipio,-75.711389,6.109719,05036
05038,05,ANGOSTURA,Municipio,-75.335116,6.885175,05038
05040,05,ANORÍ,Municipio,-75.148355,7.074703,05040
05042,05,SANTA FÉ DE ANTIOQUIA,Municipio,-75.826648,6.556484,05042
05044,05,ANZÁ,Municipio,-75.854442,6.302641,05044
05045,05,APARTADÓ,Municipio,-76.625279,7.882968,05045
05051,05,ARBOLETES,Municipio,-76.426708,8.849317,05051
05055,05,ARGELIA,Municipio,-75.14107,5.731474,05055
05059,05,ARMENIA,Municipio,-75.786647,6.155667,05059
05079,05,BARBOSA,Municipio,-75.331627,6.439195,05079
05086,05,BELMIRA,Municipio,-75.667779,6.606319,05086
05088,05,BELLO,Municipio,-75.555245,6.333587,05088
05091,05,BETANIA,Municipio,-75.97679,5.74615,05091
05093,05,BETULIA,Municipio,-75.984452,6.115208,05093
05101,05,CIUDAD BOLÍVAR,Municipio,-76.021509,5.850273,05101
05107,05,BRICEÑO,Municipio,-75.55036,7.112803,05107
05113,05,BURITICÁ,Municipio,-75.907,6.720759,05113
05120,05,CÁCERES,Municipio,-75.35205,7.578366,05120
05125,05,CAICEDO,Municipio,-75.98293,6.405607,05125
05129,05,CALDAS,Municipio,-75.633673,6.091077,05129
05134,05,CAMPAMENTO,Municipio,-75.298091,6.979771,05134
05138,05,CAÑASGORDAS,Municipio,-76.028228,6.753859,05138
05142,05,CARACOLÍ,Municipio,-74.757421,6.409829,05142
05145,05,CARAMANTA,Municipio,-75.643868,5.54853,05145
05147,05,CAREPA,Municipio,-76.652652,7.755148,05147
05148,05,EL CARMEN DE VIBORAL,Municipio,-75.333901,6.082885,05148
05150,05,CAROLINA,Municipio,-75.283192,6.725995,05150
05154,05,CAUCASIA,Municipio,-75.197996,7.977278,05154
05172,05,CHIGORODÓ,Municipio,-76.681531,7.666147,05172
05190,05,CISNEROS,Municipio,-75.087047,6.537829,05190
05197,05,COCORNÁ,Municipio,-75.185483,6.058295,05197
05206,05,CONCEPCIÓN,Municipio,-75.257587,6.394348,05206
05209,05,CONCORDIA,Municipio,-75.908448,6.045738,05209
05212,05,COPACABANA,Municipio,-75.509384,6.348557,05212
05234,05,DABEIBA,Municipio,-76.261614,6.998112,05234
05237,05,DONMATÍAS,Municipio,-75.39263,6.485603,05237
05240,05,EBÉJICO,Municipio,-75.766413,6.325615,05240
05250,05,EL BAGRE,Municipio,-74.799097,7.5975,05250
05264,05,ENTRERRÍOS,Municipio,-75.517685,6.566273,05264
05266,05,ENVIGADO,Municipio,-75.582192,6.166695,05266
05282,05,FREDONIA,Municipio,-75.675072,5.928039,05282
05284,05,FRONTINO,Municipio,-76.130765,6.776066,05284
05306,05,GIRALDO,Municipio,-75.952158,6.680808,05306
05308,05,GIRARDOTA,Municipio,-75.444238,6.379472,05308
05310,05,GÓMEZ PLATA,Municipio,-75.220018,6.683269,05310
05313,05,GRANADA,Municipio,-75.184446,6.142892,05313
05315,05,GUADALUPE,Municipio,-75.239862,6.815069,05315
05318,05,GUARNE,Municipio,-75.441612,6.27787,05318
05321,05,GUATAPÉ,Municipio,-75.160041,6.232461,05321
05347,05,HELICONIA,Municipio,-75.734322,6.206757,05347
05353,05,HISPANIA,Municipio,-75.906587,5.799461,05353
05360,05,ITAGÜÍ,Municipio,-75.612056,6.175079,05360
05361,05,ITUANGO,Municipio,-75.764673,7.171629,05361
05364,05,JARDÍN,Municipio,-75.818982,5.597542,05364
05368,05,JERICÓ,Municipio,-75.785499,5.789748,05368
05376,05,LA CEJA,Municipio,-75.429433,6.028062,05376
05380,05,LA ESTRELLA,Municipio,-75.637708,6.145238,05380
05390,05,LA PINTADA,Municipio,-75.60781,5.743808,05390
05400,05,LA UNIÓN,Municipio,-75.360874,5.973845,05400
05411,05,LIBORINA,Municipio,-75.812838,6.677316,05411
05425,05,MACEO,Municipio,-74.78716,6.552116,05425
05440,05,MARINILLA,Municipio,-75.339345,6.173995,05440
05467,05,MONTEBELLO,Municipio,-75.523455,5.946313,05467
05475,05,MURINDÓ,Municipio,-76.817485,6.97771,05475
05480,05,MUTATÁ,Municipio,-76.435875,7.242875,05480
05483,05,NARIÑO,Municipio,-75.176262,5.610777,05483
05490,05,NECOCLÍ,Municipio,-76.787271,8.434526,05490
05495,05,NECHÍ,Municipio,-74.77647,8.094129,05495
05501,05,OLAYA,Municipio,-75.811773,6.626492,05501
05541,05,PEÑOL,Municipio,-75.242693,6.219349,05541
05543,05,PEQUE,Municipio,-75.910357,7.021029,05543
05576,05,PUEBLORRICO,Municipio,-75.839903,5.79158,05576
05579,05,PUERTO BERRÍO,Municipio,-74.410016,6.487028,05579
05585,05,PUERTO NARE,Municipio,-74.583012,6.186025,05585
05591,05,PUERTO TRIUNFO,Municipio,-74.64119,5.871318,05591
05604,05,REMEDIOS,Municipio,-74.698135,7.029424,05604
05607,05,RETIRO,Municipio,-75.501301,6.062454,05607
05615,05,RIONEGRO,Municipio,-75.377316,6.147148,05615
05628,05,SABANALARGA,Municipio,-75.816645,6.850028,05628
05631,05,SABANETA,Municipio,-75.615479,6.149903,05631
05642,05,SALGAR,Municipio,-75.976807,5.964198,05642
05647,05,SAN ANDRÉS DE CUERQUÍA,Municipio,-75.674564,6.916676,05647
05649,05,SAN CARLOS,Municipio,-74.988097,6.187746,05649
05652,05,SAN FRANCISCO,Municipio,-75.101562,5.963476,05652
05656,05,SAN JERÓNIMO,Municipio,-75.726975,6.44809,05656
05658,05,SAN JOSÉ DE LA MONTAÑA,Municipio,-75.683352,6.85009,05658
05659,05,SAN JUAN DE URABÁ,Municipio,-76.52857,8.758964,05659
05660,05,SAN LUIS,Municipio,-74.993619,6.043017,05660
05664,05,SAN PEDRO DE LOS MILAGROS,Municipio,-75.556743,6.46012,05664
05665,05,SAN PEDRO DE URABÁ,Municipio,-76.380567,8.276884,05665
05667,05,SAN RAFAEL,Municipio,-75.02849,6.293759,05667
05670,05,SAN ROQUE,Municipio,-75.019109,6.485939,05670
05674,05,SAN VICENTE FERRER,Municipio,-75.332616,6.282164,05674
05679,05,SANTA BÁRBARA,Municipio,-75.567351,5.875527,05679
05686,05,SANTA ROSA DE OSOS,Municipio,-75.460723,6.643366,05686
05690,05,SANTO DOMINGO,Municipio,-75.164903,6.473032,05690
05697,05,EL SANTUARIO,Municipio,-75.265465,6.136871,05697
05736,05,SEGOVIA,Municipio,-74.701596,7.079648,05736
05756,05,SONSÓN,Municipio,-75.309596,5.714851,05756
05761,05,SOPETRÁN,Municipio,-75.747378,6.500745,05761
05789,05,TÁMESIS,Municipio,-75.714429,5.664645,05789
05790,05,TARAZÁ,Municipio,-75.401407,7.580127,05790
05792,05,TARSO,Municipio,-75.822956,5.864542,05792
05809,05,TITIRIBÍ,Municipio,-75.791887,6.062391,05809
05819,05,TOLEDO,Municipio,-75.692281,7.010328,05819
05837,05,TURBO,Municipio,-76.728858,8.089929,05837
05842,05,URAMITA,Municipio,-76.173284,6.898393,05842
05847,05,URRAO,Municipio,-76.133951,6.317343,05847
05854,05,VALDIVIA,Municipio,-75.439274,7.1652,05854
05856,05,VALPARAÍSO,Municipio,-75.624452,5.614555,05856
05858,05,VEGACHÍ,Municipio,-74.798714,6.773525,05858
05861,05,VENECIA,Municipio,-75.735544,5.964693,05861
05873,05,VIGÍA DEL FUERTE,Municipio,-76.896004,6.588164,05873
05885,05,YALÍ,Municipio,-74.840059,6.676554,05885
05887,05,YARUMAL,Municipio,-75.418828,6.963832,05887
05890,05,YOLOMBÓ,Municipio,-75.013385,6.594511,05890
05893,05,YONDÓ,Municipio,-73.912445,7.00396,05893
05895,05,ZARAGOZA,Municipio,-74.867075,7.488583,05895
08001,08,BARRANQUILLA,Municipio,-74.815546,10.977961,08001
08078,08,BARANOA,Municipio,-74.916077,10.79445,08078
08137,08,CAMPO DE LA CRUZ,Municipio,-74.880847,10.378291,08137
08141,08,CANDELARIA,Municipio,-74.879717,10.461903,08141
08296,08,GALAPA,Municipio,-74.870385,10.919033,08296
08372,08,JUAN DE ACOSTA,Municipio,-75.041032,10.83254,08372
08421,08,LURUACO,Municipio,-75.14199,10.610491,08421
08433,08,MALAMBO,Municipio,-74.776923,10.857086,08433
08436,08,MANATÍ,Municipio,-74.956867,10.449089,08436
08520,08,PALMAR DE VARELA,Municipio,-74.754765,10.738591,08520
08549,08,PIOJÓ,Municipio,-75.107592,10.749216,08549
08558,08,POLONUEVO,Municipio,-74.852981,10.777363,08558
08560,08,PONEDERA,Municipio,-74.753885,10.641779,08560
08573,08,PUERTO COLOMBIA,Municipio,-74.888627,11.015322,08573
